Number One,Number Two,Their GCD,Time Spent (Nanoseconds)
3312,-6810,6,100
-794,-3222,2,100
14789,1585,1,100
10975,9648,1,100
9885,3043,1,100
12127,-5961,1,200
14391,-7604,1,100
14527,7169,1,100
-12201,9008,1,100
-888,-10619,37,200
-15509,-15019,1,100
-1481,11872,1,100
-11923,-15909,1,100
-9411,10438,1,100
9739,9164,1,200
5194,-6594,14,100
9222,13812,6,100
11211,-8433,3,100
-40,-15629,1,100
-13902,-15371,1,100
-4711,7056,7,200
-2955,-10471,1,0
-6621,-10416,3,100
8025,-11968,1,100
-14475,840,15,100
-4624,10051,1,100
-11179,13103,1,100
-12064,-15425,1,100
-10438,10423,1,200
-8217,2317,1,100
-5016,1309,11,100
5404,12149,1,0
14173,14591,1,100
-12936,-11362,2,400
1900,9839,1,100
12948,-14007,3,100
12200,10565,5,200
-3660,1599,3,100
5635,-1607,1,100
-7163,14728,1,100
15799,7473,1,100
3107,-7458,1,200
-12059,-9897,1,100
3294,-414,18,100
-4740,-8849,1,100
-706,6285,1,200
14685,5608,1,100
15813,-8600,1,200
445,-8656,1,100
13043,-512,1,100
-5686,1229,1,100
2320,-5356,4,100
-4975,-10838,1,100
-6875,-9198,1,100
13855,7854,17,100
10060,4930,10,100
6118,-7533,1,100
8745,-14272,1,100
7267,11766,1,100
-5191,-14929,1,100
-514,-15702,2,100
11082,3884,2,200
1330,3410,10,100
2251,9089,1,100
4589,6447,1,100
8518,12059,1,100
-11206,-2506,2,100
9387,-15681,3,100
-2019,-15002,1,100
207,-7560,9,100
-14146,-8360,22,100
15796,212,4,200
3786,-14056,2,100
-4341,14927,1,100
11799,-5325,3,100
-8457,-6896,1,100
-14713,16145,1,100
-10732,-14125,1,200
-9170,-6523,1,100
9400,4903,1,100
-13641,-7773,3,100
-11911,-9255,1,200
2051,-10542,7,100
4335,-12880,5,100
-1516,8482,2,100
-5445,-14502,3,200
-7126,6367,1,100
12231,2215,1,100
12075,-13722,3,200
9680,16373,1,100
4424,3895,1,200
3106,3052,2,100
-10018,15692,2,100
-8797,-14997,1,200
-8550,-8023,1,200
-3053,9665,1,200
-7455,13109,1,100
-3950,7457,1,200
-9617,-14648,1,200
3427,-4784,23,200
-4546,5509,1,100
15599,-9055,1,100
12969,-5014,1,100
14861,5411,7,100
-9775,-7131,1,200
-4736,1049,1,200
-6848,-9175,1,200
-13119,-12886,1,100
6860,11266,2,100
5632,10458,2,100
-16194,-283,1,200
3429,14265,9,100
-6860,3468,4,100
8091,12250,1,100
13508,10817,1,100
3471,-6393,3,200
9314,-11464,2,200
1397,6195,1,100
-3452,16161,1,200
-13043,-2896,1,200
-15484,6142,2,100
-7900,-10845,5,200
-8891,-10190,1,100
11869,8628,1,100
-14823,-549,549,200
-14543,15114,1,100
-13598,2146,2,100
15157,2422,1,100
12408,-2991,3,100
-3173,-2834,1,200
5195,10596,1,100
14588,-7106,2,200
-16310,3810,10,100
-14763,5114,1,200
-2557,14893,1,100
3407,-9801,1,200
-2805,-5224,1,200
4035,10106,1,100
-16224,-12934,2,100
-3459,-7311,3,200
-6003,10625,1,0
11584,-6175,1,200
-9906,2120,2,100
-1013,16224,1,200
-2187,-4309,1,100
-2661,-3772,1,100
2636,12378,2,100
-5327,-3493,7,200
14780,300,20,0
-2667,3549,21,100
9069,-13642,1,100
-11429,-9570,11,200
-13521,-5987,1,100
-923,4232,1,200
-5479,-13784,1,200
3753,-11703,3,200
-7185,10649,1,200
-1996,16201,1,100
-9143,-12866,1,100
623,-7713,1,100
-16142,2499,7,100
8866,-12860,2,100
15375,-4278,3,200
13238,712,2,100
-9087,-6467,1,100
-705,-6205,5,100
-2804,8675,1,100
11194,-3633,1,100
-2376,7346,2,200
7698,-13388,2,100
-13705,8293,1,100
11370,4516,2,200
-4599,-818,1,200
-13290,-2775,15,100
-10211,-5140,1,100
13546,-8869,1,100
-6215,-11328,1,100
-5192,-10410,2,200
-7461,-9635,1,200
-10732,-5397,1,200
-14239,63,1,100
15194,10134,2,0
-1754,13533,1,100
-10509,-592,1,100
-914,6529,1,200
-8237,14310,1,100
-7292,-6568,4,200
10566,10474,2,100
4257,9669,33,200
-16147,-7832,1,100
-6896,14843,1,200
11779,572,1,200
6800,-7989,1,0
13797,-286,1,200
-13318,10682,2,200
-13870,-7122,2,100
-3805,4695,5,100
495,-2243,1,100
-11772,15564,12,200
-13938,-16213,1,100
13592,-2894,2,200
8367,-10234,1,100
-13050,-2518,2,100
5831,899,1,100
10624,11049,1,100
-7487,-16,1,100
12139,-11501,1,0
15427,1258,1,100
-9152,-14196,52,100
-9678,-9904,2,100
-10062,-9845,1,100
14968,3064,8,200
7825,-6737,1,200
5893,9376,1,200
13806,14039,1,200
11283,-7897,1,100
-12928,-14355,1,100
13231,-11523,1,200
12870,-4606,2,100
14965,-3880,5,200
-5522,6048,2,100
12699,-3928,1,200
-2186,5723,1,100
-7631,-562,1,200
913,9898,1,200
9638,8072,2,200
-436,10741,1,100
1935,-7248,3,100
-5007,-14609,1,100
13476,8615,1,100
-4309,-7130,31,200
-9461,-5748,1,200
-14740,12505,5,100
-8230,-3151,1,100
-11636,12297,1,200
3543,9295,1,100
-9933,-1582,7,200
8578,-2184,2,100
4472,9980,4,200
-10667,-5810,1,200
15178,6862,2,200
-9910,11891,1,100
-14833,7970,1,100
-15202,-12096,2,200
-13684,1727,11,100
2260,1082,2,100
-9211,-13854,1,200
-6402,-14271,3,100
-2907,-12002,17,200
-8136,10507,1,200
288,-7578,18,100
15989,13649,1,100
-12394,-7063,1,200
6782,-952,2,100
-6725,-5090,5,100
823,10195,1,100
565,-14177,1,100
10788,1783,1,100
-12987,314,1,200
14637,7311,3,100
-854,-1595,1,0
13726,1601,1,100
-4414,12595,1,100
5234,-12368,2,100
243,-12699,9,200
-7215,1523,1,100
9545,-4286,1,200
11735,8007,1,100
-1184,-4598,2,200
-1897,2816,1,100
-3963,4327,1,100
1888,-570,2,100
11032,-10298,2,100
-16065,-12803,7,100
-15052,-9116,212,200
-7996,-2939,1,100
6803,-1876,1,200
-12023,1444,1,100
11691,10048,1,100
-9231,13888,1,200
-6115,-11690,5,200
3502,-16046,2,200
14928,1221,3,100
-3706,-15977,1,200
-8615,12639,1,100
3030,-11383,1,200
-15841,1154,1,100
13655,5005,5,200
-9028,-3094,2,200
15264,-13202,2,100
-3290,201,1,100
-5396,-5622,2,100
4110,-8166,6,100
-6882,1099,1,100
13064,-718,2,200
-5630,5721,1,100
-1299,2712,3,200
-2858,13838,2,100
-12419,5398,1,100
-11511,-8277,3,200
-12727,-13040,1,200
6210,10697,1,100
-303,-1515,303,100
5028,-2670,6,100
4585,-13132,7,200
10833,-4304,1,200
12385,657,1,200
15148,-3450,2,100
7396,4280,4,100
-4124,10270,2,200
11553,-14288,1,200
7982,-4509,1,100
-8663,10452,1,100
9297,-7407,9,200
2072,-10658,2,100
-12312,8425,1,200
-2824,-7227,1,200
-10781,1449,1,100
-8478,-5943,3,200
-9008,5179,1,100
6502,5579,1,100
4697,-14547,1,0
-5586,14819,7,100
-5875,-6303,1,200
-11043,-4307,1,100
-7325,15110,5,200
-8643,-7837,1,200
4091,8390,1,200
2714,-7503,1,200
6952,-5311,1,100
7017,-15676,1,200
6572,4283,1,200
-12242,7205,1,100
-3902,785,1,200
11932,3013,1,100
-158,-15374,2,200
5629,1753,1,100
-4928,2379,1,100
8660,-15641,1,100
-16362,1539,81,200
8129,-7135,1,100
9635,10985,5,100
7334,-6669,19,200
1267,-3093,1,100
-13048,-3624,8,100
-13214,5512,2,100
-11080,6257,1,100
5596,7816,4,100
12722,8408,2,200
2278,-7702,2,200
-12731,-7630,1,200
7650,15646,2,200
-396,-9341,1,100
9870,3700,10,200
-4963,-569,1,100
16335,-4139,1,200
14680,-9154,2,200
4269,2481,3,200
-11614,14087,1,200
-1378,4664,106,200
-14789,5104,1,100
7943,-13107,1,200
4940,-9843,1,200
-8704,7607,1,100
16205,8327,1,200
12888,1562,2,200
12838,12087,1,100
3800,7206,2,100
7572,-11405,1,100
8396,-11377,1,100
-3121,3752,1,100
7104,10813,1,100
12650,-14295,5,100
-3448,3396,4,200
-390,-1593,3,100
8579,2582,1,200
-5382,2722,2,200
-4576,8184,88,100
-13714,-13249,1,100
16288,-14926,2,100
-3385,-12838,1,100
-2786,-2165,1,200
-7545,-1539,3,100
-9011,-7820,1,200
4645,12881,1,200
12418,-1660,2,100
-2893,-8779,1,200
15218,7844,2,100
-5186,7309,1,100
3388,3980,4,200
12918,5980,2,200
-8662,-12818,2,200
1038,7062,6,100
2227,-15888,1,200
358,-1361,1,100
15429,12768,3,100
6632,-8328,8,100
-12990,-7645,5,100
-1104,3499,1,200
